Id,packedCAP
0with0,0.36028159057428744
0with1,0.15641078413514312
0with2,0.09464915426453886
0with3,0.1476657329598506
0with4,0.05925925925925926
0with5,0.24740775564304976
0with6,0.17749382325840446
0with7,0.3462875568853939
0with8,0.017420123010185123
0with9,0.10017503236597486
0with10,0.07395833333333333
0with11,0.28253929316911
0with12,0.26505993756252555
0with13,0.22810358729349858
0with14,0.10911260267013802
0with15,0.036885245901639344
0with16,0.061104441776710684
0with17,0.11750582149188962
0with18,0.37437005478181956
0with19,0.15387098057483697
1with0,0.23532097286250112
1with1,0.21516379701497668
1with2,0.35747865258429173
1with3,0.13029478458049887
1with4,0.0
1with5,0.2593649024389062
1with6,0.14267943319946594
1with7,0.3770405145122773
1with8,0.017708333333333333
1with9,0.10095238095238096
1with10,0.0838095238095238
1with11,0.31529826291830937
1with12,0.3527148937313326
1with13,0.2559747300725649
1with14,0.08339822112781778
1with15,0.05400519056367188
1with16,0.11087639734256274
1with17,0.12238951136009958
1with18,0.38986450022523983
1with19,0.14580995136550695
2with0,0.2199546485260771
2with1,0.18921377517868745
2with2,0.14724538218020838
2with3,0.1605464602698832
2with4,0.014545454545454545
2with5,0.2844870567729634
2with6,0.2108397718565295
2with7,0.39231234774518287
2with8,0.03451646610712238
2with9,0.12932620320855615
2with10,0.07824074074074074
2with11,0.2813044911569167
2with12,0.19170652303498106
2with13,0.1792855189835271
2with14,0.10404277201837059
2with15,0.08373735341698729
2with16,0.06565656565656565
2with17,0.16145706145706146
2with18,0.3311316757391204
2with19,0.17429577891762763
3with0,0.25544910120561776
3with1,0.14579768356858136
3with2,0.11733439297911119
3with3,0.08801313628899836
3with4,0.07816091954022988
3with5,0.33703487583776537
3with6,0.11853585655109146
3with7,0.272790471177568
3with8,0.019759087438922445
3with9,0.05774728416237851
3with10,0.11857363315696651
3with11,0.2823587631071389
3with12,0.1763392857142857
3with13,0.18462586915708062
3with14,0.09967287659245523
3with15,0.011530398322851153
3with16,0.14628099173553719
3with17,0.13704026325977545
3with18,0.3564401359674154
3with19,0.08482142857142858
4with0,0.2618502724415712
4with1,0.12997290617878854
4with2,0.10075985418090683
4with3,0.008444444444444445
4with4,0.028787878787878786
4with5,0.26192953584257933
4with6,0.13659463642560324
4with7,0.3847648905542807
4with8,0.015302598635931967
4with9,0.060457516339869274
4with10,0.016666666666666666
4with11,0.2987205087705581
4with12,0.2411766789662838
4with13,0.20986585431029878
4with14,0.1066036933733621
4with15,0.11568627450980391
4with16,0.008695652173913044
4with17,0.273889930570965
4with18,0.3377008177008178
4with19,0.14057100307100306
5with0,0.2713830613830614
5with1,0.22109895295429344
5with2,0.1635817485525088
5with3,0.1419906258615936
5with4,0.007960199004975124
5with5,0.15629440181869847
5with6,0.1662944028755416
5with7,0.44159092740789807
5with8,0.00681390977443609
5with9,0.19215686274509802
5with10,0.04666666666666667
5with11,0.22800078784413733
5with12,0.26463684463684467
5with13,0.27354524689708015
5with14,0.09018222222517613
5with15,0.14232804232804233
5with16,0.2818181818181818
5with17,0.05844305844305844
5with18,0.33157212448850143
5with19,0.12215686274509804
6with0,0.22312072058202087
6with1,0.14453703703703705
6with2,0.19756253359302967
6with3,0.16294987064217833
6with4,0.01907968574635241
6with5,0.19772609389130635
6with6,0.10997629781827725
6with7,0.3794650755158957
6with8,0.019157777632353903
6with9,0.3148637052661821
6with10,0.03673469387755102
6with11,0.36240786170288797
6with12,0.2938675470188075
6with13,0.18943328550932567
6with14,0.10491177198234967
6with15,0.046218760142810775
6with16,0.12569077013521457
6with17,0.12406973170862061
6with18,0.2820587719195056
6with19,0.10691366574330563
7with0,0.29181174261819426
7with1,0.19544432775202003
7with2,0.2853459859579811
7with3,0.08116246087594516
7with4,0.0
7with5,0.24308763750869017
7with6,0.15790981986586355
7with7,0.38474314061163006
7with8,0.037379623711424684
7with9,0.18091789746201506
7with10,0.035460992907801414
7with11,0.28200888380401096
7with12,0.21520616180005236
7with13,0.20541898269602255
7with14,0.095994177632988
7with15,0.05025817555938038
7with16,0.08733493397358943
7with17,0.0956445993031359
7with18,0.3626083998665922
7with19,0.12228260869565216
8with0,0.20753968253968252
8with1,0.0905500184569952
8with2,0.2267473343212869
8with3,0.12461149961149962
8with4,0.019189765458422173
8with5,0.2801692156935031
8with6,0.1639829475501462
8with7,0.3725734446386106
8with8,0.0053733031674208145
8with9,0.14205928142579727
8with10,0.043859649122807015
8with11,0.3406515139254791
8with12,0.15928227023421535
8with13,0.21300718126210835
8with14,0.09559502968198848
8with15,0.0356062751964933
8with16,0.058204209954023804
8with17,0.11789502164502164
8with18,0.4181510816112769
8with19,0.13992869875222816
9with0,0.21317823434344682
9with1,0.12422383258296571
9with2,0.16493081567812007
9with3,0.03687572590011614
9with4,0.036259099550238795
9with5,0.2884890593108355
9with6,0.13101562565565486
9with7,0.3891426067110253
9with8,0.00913978494623656
9with9,0.12523997741389045
9with10,0.09977324263038548
9with11,0.3001282515423692
9with12,0.4353477087852088
9with13,0.12100694444444446
9with14,0.1144866614097885
9with15,0.07973856209150326
9with16,0.11666666666666667
9with17,0.15646456256921373
9with18,0.46556872271157973
9with19,0.195097818429835
